,M1,M2,M3,M4,M5,M6,M7,M8,M1M1,M1M2,M1M3,M1M4,M1M5,M1M6,M1M7,M1M8,M2M2,M2M3,M2M4,M2M5,M2M6,M2M7,M2M8,M3M3,M3M4,M3M5,M3M6,M3M7,M3M8,M4M4,M4M5,M4M6,M4M7,M4M8,M5M5,M5M6,M5M7,M5M8,M6M6,M6M7,M6M8,M7M7,M7M8,M8M8
87,109.24680404636092,-66.79117350845324,-9979.22521972762,-577.9813780574079,186.94897120973707,-132.00010425573643,-186.00981416495551,-5412.104884218372,4461.060858636306,666524.1631307598,38604.05450648724,-12486.541173296378,8816.441866478808,12423.813772166688,361480.8363677765,-297959.4898409469,99584935.98604776,5767806.344443409,-1865605.8882983408,1317258.76939552,1856233.8286317717,54008613.552403,-44517931.027243175,334062.4733811403,-108053.02400621852,76293.60216145206,107510.20872326335,3128095.8391717626,-2578410.1026725755,34949.9178363791,-24677.28369018796,-34774.34339305281,-1011787.4401838178,833990.7380260837,17424.02752352529,24553.31486236429,714398.4089598054,-588860.4984311775,34599.650965681285,1006704.6237547074,-829801.1012934962,29290879.277780354,-24143729.261820953,19901063.984456897
88,94.37615052435949,-92.35364593805895,-49119.74545636006,-1299.1485546581891,61.5915775911147,-58.75530115407756,-17204.416804273038,-691.9855170166925,8529.195918052352,4536387.580444257,119981.10563784342,-5688.206749616293,5426.266279767705,1588890.6181126237,63907.38543282428,-787702.3399521445,2412749393.697605,63813846.31480833,-3025362.6135312044,2886045.436900068,845076574.1510153,33990152.45534765,-418951932.4421568,1687786.967070462,-80016.60900661437,76331.8645728265,22351093.22500838,898991.9842766358,-11080692.54933424,3793.5224301623025,-3618.831689920679,-1059647.1725102605,-42620.479663261234,525326.6321765402,3452.1854137063474,1010850.690515335,40657.81744657583,-501135.47476729495,295991957.5751525,11905207.25727555,-146739841.5794769,478843.9557608592,-5902080.04709012,72747183.0085209
89,94.37615052435949,-42.469426239597475,-49119.74545636006,-1299.1485546581891,61.5915775911147,-58.75530115407756,-17204.416804273038,-691.9855170166925,1803.6521651206106,2086087.406566687,55174.09371633563,-2615.7589614862904,2495.3039285484333,730661.7104643651,29388.227873810145,-76600.07258848005,2412749393.697605,63813846.31480833,-3025362.6135312044,2886045.436900068,845076574.1510153,33990152.45534765,-88594935.2425371,1687786.967070462,-80016.60900661437,76331.8645728265,22351093.22500838,898991.9842766358,-2343212.1034225547,3793.5224301623025,-3618.831689920679,-1059647.1725102605,-42620.479663261234,111089.78227540811,3452.1854137063474,1010850.690515335,40657.81744657583,-105974.1261388655,295991957.5751525,11905207.25727555,-31030783.61866448,478843.9557608592,-1248101.1759992626,3253161.132744266
90,94.37615052435949,-92.35364593805895,-49119.74545636006,-1299.1485546581891,61.5915775911147,-29.232666833229164,-17204.416804273038,-691.9855170166925,8529.195918052352,4536387.580444257,119981.10563784342,-5688.206749616293,2699.743362541285,1588890.6181126237,63907.38543282428,-787702.3399521445,2412749393.697605,63813846.31480833,-3025362.6135312044,1435901.1538587958,845076574.1510153,33990152.45534765,-418951932.4421568,1687786.967070462,-80016.60900661437,37977.57686519405,22351093.22500838,898991.9842766358,-11080692.54933424,3793.5224301623025,-1800.4860674540394,-1059647.1725102605,-42620.479663261234,525326.6321765402,854.5488101825764,502930.98449932295,20228.5820723688,-249331.14262776254,295991957.5751525,11905207.25727555,-146739841.5794769,478843.9557608592,-5902080.04709012,72747183.0085209
91,94.37615052435949,-42.469426239597475,-49119.74545636006,-1299.1485546581891,61.5915775911147,-29.232666833229164,-17204.416804273038,-691.9855170166925,1803.6521651206106,2086087.406566687,55174.09371633563,-2615.7589614862904,1241.4945878605536,730661.7104643651,29388.227873810145,-76600.07258848005,2412749393.697605,63813846.31480833,-3025362.6135312044,1435901.1538587958,845076574.1510153,33990152.45534765,-88594935.2425371,1687786.967070462,-80016.60900661437,37977.57686519405,22351093.22500838,898991.9842766358,-2343212.1034225547,3793.5224301623025,-1800.4860674540394,-1059647.1725102605,-42620.479663261234,111089.78227540811,854.5488101825764,502930.98449932295,20228.5820723688,-52725.562826003246,295991957.5751525,11905207.25727555,-31030783.61866448,478843.9557608592,-1248101.1759992626,3253161.132744266
92,65.91304419759517,-59.64079357165856,-12455.819639133546,-482.416724920237,185.84679806338812,-135.47085748446227,-585.5057075434387,-5307.060765362349,3557.0242578571892,742874.9678633745,28771.71630648345,-11084.050519252245,8079.589446206391,34920.02503862612,316517.31557922415,-212143.7494922426,155147442.88262492,6008895.716507974,-2314874.197188036,1687400.5671852268,7292953.490844346,66103791.70727546,-44305652.60789201,232725.89648276762,-89655.60365865234,65353.40738979047,282457.7458552118,2560214.873378791,-1715967.992937302,34539.03235041376,-25176.825094388892,-108814.36099478664,-986300.2503704266,661061.568956558,18352.353227575488,79318.96026295643,718952.072605784,-481873.1263049465,342816.93356594275,3107314.3683995055,-2082658.0048458485,28164893.967248403,-18877343.880316015,12652421.570984488
93,65.91304419759517,-34.52069813919168,-12455.819639133546,-482.416724920237,185.84679806338812,-135.47085748446227,-585.5057075434387,-5307.060765362349,1191.678600017192,429983.5898387446,16653.36213826897,-6415.561216081534,4676.548577878578,20212.065788880893,183203.44268742122,-41137.57723012802,155147442.88262492,6008895.716507974,-2314874.197188036,1687400.5671852268,7292953.490844346,66103791.70727546,-14843333.709629308,232725.89648276762,-89655.60365865234,65353.40738979047,282457.7458552118,2560214.873378791,-574885.6873778268,34539.03235041376,-25176.825094388892,-108814.36099478664,-986300.2503704266,221469.65213385614,18352.353227575488,79318.96026295643,718952.072605784,-161437.72179021253,342816.93356594275,3107314.3683995055,-697734.6218674404,28164893.967248403,-6324310.743073171,1420097.8857389344
94,65.91304419759517,-59.64079357165856,-12455.819639133546,-482.416724920237,185.84679806338812,-130.0245683203779,-585.5057075434387,-5307.060765362349,3557.0242578571892,742874.9678633745,28771.71630648345,-11084.050519252245,7754.768438439674,34920.02503862612,316517.31557922415,-212143.7494922426,155147442.88262492,6008895.716507974,-2314874.197188036,1619562.5716548248,7292953.490844346,66103791.70727546,-44305652.60789201,232725.89648276762,-89655.60365865234,62726.02640828431,282457.7458552118,2560214.873378791,-1715967.992937302,34539.03235041376,-24164.649691916486,-108814.36099478664,-986300.2503704266,661061.568956558,16906.38836690062,76130.12687245305,690048.2850662539,-462500.54363299365,342816.93356594275,3107314.3683995055,-2082658.0048458485,28164893.967248403,-18877343.880316015,12652421.570984488
95,65.91304419759517,-34.52069813919168,-12455.819639133546,-482.416724920237,185.84679806338812,-130.0245683203779,-585.5057075434387,-5307.060765362349,1191.678600017192,429983.5898387446,16653.36213826897,-6415.561216081534,4488.538873666471,20212.065788880893,183203.44268742122,-41137.57723012802,155147442.88262492,6008895.716507974,-2314874.197188036,1619562.5716548248,7292953.490844346,66103791.70727546,-14843333.709629308,232725.89648276762,-89655.60365865234,62726.02640828431,282457.7458552118,2560214.873378791,-574885.6873778268,34539.03235041376,-24164.649691916486,-108814.36099478664,-986300.2503704266,221469.65213385614,16906.38836690062,76130.12687245305,690048.2850662539,-154947.49554386767,342816.93356594275,3107314.3683995055,-697734.6218674404,28164893.967248403,-6324310.743073171,1420097.8857389344
96,67.42035869314142,-59.41716188068248,-10010.32590211497,-393.81171413139447,178.36194353305865,-129.87594855234235,-483.48813384837257,-4555.194033895631,3530.399125955227,594785.1546043541,23399.174369054115,-10597.760472256892,7716.860259541714,28727.49271625783,270656.7013098957,-209766.29637030166,100206624.66655388,3942183.602525794,-1785461.1833005445,1300100.5718552638,4839873.789627593,45598976.826665014,-35340445.81535366,155087.66618710716,-70241.02271856081,51146.66992383874,190403.29075301668,1793888.7706895398,-1390312.5313604048,31812.98290089,-23164.926601995317,-86235.88322836733,-812473.2610558182,629688.8495527859,16867.762012370677,62793.479997359245,591610.1459921658,-458513.9352517955,233760.77557218182,2202382.262765439,-1706906.0851480183,20749792.686438352,-16081653.035821602,12463717.988545433
